Palabra,Agrado,Activacion,Imaginabilidad,stdev_agrd,stdev_act,stdev_imag
vivir_V,2.8,3,3,0.4472,0,0
estado_N,1.8,1.8,1.8,0.4472,0.8367,1.0954
ver_V,2.4,2.6,2.8,0.5477,0.8944,0.4472
pequeño_A,2.2,1.6,3,0.4472,0.5477,0
padre_N,3,2.6,3,0,0.5477,0
gobierno_N,2,2.6667,2.8333,0.6325,0.5164,0.4082
condado_N,2,1.2,2.2,0,0.4472,1.0954
utilizar_V,2.1667,2.6667,2.3333,0.4082,0.5164,0.8165
madre_N,3,2.8,3,0,0.4472,0
sentir_V,2.6,2.6,2.4,0.5477,0.8944,0.8944
tanto_R,2,2.2,1.8,0,0.8367,1.0954
cambiar_V,2.3333,2.6667,2.1667,0.5164,0.5164,0.7528
final_N,2.4,2.2,2.6,0.5477,0.8367,0.8944
escribir_V,2.2,2.8,3,0.4472,0.4472,0
día_N,2.4,2.2,3,0.5477,0.8367,0
sueño_N,2.4,2.2,2.4,0.5477,0.8367,0.8944
usar_V,2,2.8,2.2,0,0.4472,0.8367
empezar_V,2.4,3,2,0.5477,0,1
tomar_V,2,2.6,2.8,0,0.5477,0.4472
pesar_V,1.6,2.2,2.4,0.5477,0.8367,0.5477
equipo_N,2.8,2.4,2.8,0.4472,0.8944,0.4472
ciudad_N,2.4,2.4,3,0.5477,0.8944,0
juego_N,3,3,2.8,0,0,0.4472
provincia_N,2.6,2,2.8,0.5477,0.7071,0.4472
gran_A,2.4,2.2,2.6,0.5477,0.8367,0.5477
general_A,2.2,1.8,1.4,0.4472,0.4472,0.8944
morir_V,1.4,2.4,2.6,0.8944,0.8944,0.8944
nacer_V,2.8,3,2.8,0.4472,0,0.4472
niño_N,2.6,2.8,3,0.8944,0.4472,0
mayor_A,2.3333,2.1667,3,0.5164,0.7528,0
recibir_V,2.6667,2.1667,2.6667,0.5164,0.7528,0.5164
serie_N,2.3333,2.1667,2,0.5164,0.7528,0.8944
silencio_N,2.6667,1.8333,3,0.5164,0.9832,0
realidad_N,2.3333,2.3333,2.6667,0.5164,0.8165,0.8165
real_A,2.3333,2.3333,2.5,0.5164,0.8165,0.5477
proyecto_N,2.5,2.1667,2.6667,0.5477,0.9832,0.5164
estudio_N,2.5,2.5,2.5,0.5477,0.8367,0.5477
tocar_V,2.3333,2.8333,2.8333,0.5164,0.4082,0.4082
conseguir_V,2.3333,2.5,2.6667,0.5164,0.8367,0.8165
película_N,2,2.1429,2.5714,1,0.6901,0.5345
mes_N,2.2,2,2.2,0.4472,0.7071,0.8367
sol_N,2.4,2.6,3,0.8944,0.5477,0
diferente_A,2.6,2.4,2,0.5477,0.5477,0.7071
ganar_V,2.6,2.8,2.4,0.5477,0.4472,0.8944
isla_N,2.8,2,2.8,0.4472,0.7071,0.4472
censo_N,2,2.6,2.2,0,0.5477,0.8367
intentar_V,2.8,2.6,2.4,0.4472,0.5477,0.5477
mostrar_V,2.6,2.6,2.8,0.5477,0.5477,0.4472
viejo_A,2.2,2.2,2.4,0.4472,0.8367,0.5477
humano_A,2.8,2.8,2.8,0.4472,0.4472,0.4472
caminar_V,2.8,3,3,0.4472,0,0
pie_N,2,2.4,2.8,0,0.5477,0.4472
orden_N,2.1667,2.3333,2.5,0.7528,0.8165,0.8367
gustar_V,2.8333,2.8333,2.3333,0.4082,0.4082,0.8165
llorar_V,1.1667,2.8333,2.8333,0.4082,0.4082,0.4082
levantar_V,1.8,2.6,2.4,0.4472,0.8944,0.5477
cara_N,2.4,1.8,2.2,0.5477,0.4472,0.8367
rostro_N,2.2,2,2.2,0.4472,0.7071,0.8367
señor_N,1.8,2.2,2.4,0.4472,0.8367,0.5477
música_N,3,2.6,2.2,0,0.8944,1.0954
raza_N,1.8,2.4,3,0.4472,0.5477,0
idea_N,2.8,3,2.4,0.4472,0,0.8944
viento_N,2.6,2.6,2.6,0.5477,0.8944,0.8944
iglesia_N,1.4,2,3,0.5477,1,0
través_N,2,2,1,0,0,0
problema_N,1.2,2.4,2.4,0.4472,0.8944,0.8944
álbum_N,2.2,2.2,2.6,0.4472,0.8367,0.8944
desear_V,2.6,2.8,2.2,0.5477,0.4472,0.8367
boca_N,2.4,2.4,3,0.5477,0.5477,0
mente_N,2.6,2.4,2,0.5477,0.5477,1
imagen_N,2.4,2,2.6,0.5477,0,0.8944
miedo_N,1,2.8,2.6,0,0.4472,0.8944
época_N,2,2,2,0,0,1
acabar_V,2.2,2.6,2.2,0.4472,0.5477,1.0954
piel_N,2.6,2,3,0.5477,0,0
carrera_N,2.2,2.8,3,0.4472,0.4472,0
construir_V,2.8,3,3,0.4472,0,0
obtener_V,2.4,3,1.8,0.5477,0,0.8367
brazo_N,2.2,1.8,3,0.4472,0.4472,0
fuerte_A,2.6,2.8,2.2,0.5477,0.4472,1.0954
demografía_N,2,1.8333,1.5,0,0.4082,0.5477
club_N,2.6667,2.5,2.6667,0.5164,0.5477,0.8165
publicar_V,2.1667,3,2.3333,0.4082,0,0.8165
resto_N,2.1667,2,1.8333,0.4082,0,0.9832
observar_V,2.3333,2.6667,2.6667,0.5164,0.8165,0.8165
situar_V,2,2,2,0,0.8944,0.8944
temporada_N,2.3333,2.1667,1.6667,0.5164,0.4082,0.8165
lanzar_V,2.3333,3,2.8333,0.5164,0,0.4082
cerrar_V,1.6667,3,3,0.5164,0,0
servicio_N,2.6,2.4,1.6,0.5477,0.8944,0.8944
beso_N,3,3,3,0,0,0
presidente_N,1.8,2.8,3,0.4472,0.4472,0
sentido_N,2.4,2.4,1.6,0.5477,0.5477,0.8944
sonrisa_N,3,3,3,0,0,0
necesitar_V,2.4,3,2,0.5477,0,0.7071
razón_N,2.6,2.6,1.8,0.5477,0.5477,1.0954
miembro_N,2.4,2.6,2.8,0.5477,0.5477,0.4472
movimiento_N,2.6,2.6,2.8,0.5477,0.8944,0.4472
regresar_V,2.4,3,2.8,0.8944,0,0.4472
relación_N,3,3,2.4,0,0,0.8944
frente_N,2,2,2.2,0,0,0.8367
escuela_N,2.8,3,3,0.4472,0,0
papel_N,2.4,2.4,2.8,0.5477,0.5477,0.4472
línea_N,2.2,2,3,0.4472,0.7071,0
destacar_V,2.6,2.8,2.2,0.5477,0.4472,0.8367
ejemplo_N,2.2,2.6,2,0.4472,0.5477,0.7071
descubrir_V,3,3,2.4,0,0,0.8944
servir_V,2,2.8,2.4,0.7071,0.4472,0.8944
arte_N,3,2.8,2.6,0,0.4472,0.8944
sangre_N,2,2,3,0.7071,0.7071,0
estrella_N,3,2.6,3,0,0.5477,0
edad_N,2,2,2,0.7071,0.7071,0.7071
derecho_N,2.2,2.6,2,0.4472,0.5477,0.7071
labio_N,2.4,2.4,3,0.5477,0.5477,0
dios_N,2,2,1.6,0.7071,0.7071,0.8944
pertenecer_V,2.4,2.4,1.6,0.5477,0.8944,0.5477
continuar_V,2.6,2.8,1.8,0.5477,0.4472,0.8367
matar_V,1,2.4,2.6,0,0.8944,0.5477
participar_V,2.8,3,2.4,0.4472,0,0.5477
posible_A,2.8,2.2,2.4,0.4472,0.4472,0.8944
pueblo_N,2.6,1.8,2.6,0.5477,0.8367,0.5477
medio_N,2,2,2.6,0,0,0.8944
despertar_V,2.8,2.8,3,0.4472,0.4472,0
espacio_N,2.4,1.4,2,0.5477,0.5477,0.7071
distrito_N,2,2,2,0,0,0.7071
minuto_N,1.8,2.2,2,0.4472,0.4472,0
cantar_V,2.8,3,2.8,0.4472,0,0.4472
igual_A,2.2,2,2.6,0.4472,0,0.5477
departamento_N,2.2,1.8,2.8,0.4472,0.4472,0.4472
sacar_V,2.2,3,2.8,0.4472,0,0.4472
nada_R,2,1.6,2,0,0.5477,1
cambio_N,2.6,2.8,2,0.5477,0.4472,0.7071
gracia_N,2.8,2.2,2,0.4472,0.4472,1
blanco_A,2.6,1.6,3,0.5477,0.8944,0
personaje_N,2.8,2.6,2.4,0.4472,0.5477,0.5477
semana_N,2,2.4,2.6,0.7071,0.5477,0.5477
ocupar_V,1.8,2.8,2.2,0.4472,0.4472,0.8367
bajo_A,2,1.8,3,0,0.4472,0
antiguo_A,2.6,1.4,2.8,0.5477,0.5477,0.4472
localidad_N,2,2,2,0,0,0.7071
lleno_A,2.2,1.6,3,0.4472,0.5477,0
ser_N,2.8,3,2.2,0.4472,0,1.0954
ocurrir_V,2.4,2.8,1.4,0.5477,0.4472,0.5477
principio_N,2.4,2.4,1.8,0.5477,0.5477,0.8367
negro_A,2,1.6,2.8,0,0.5477,0.4472
oscuro_A,2,1.6,2.8,0,0.5477,0.4472
ejército_N,1.6,2.6,3,0.8944,0.5477,0
densidad_N,2,1.8,1.8,0,0.4472,0.8367
frente_R,2,1.8,2,0,0.4472,0.7071
hermoso_A,3,2.2,2.6,0,0.8367,0.8944
feliz_A,3,2.8,2.4,0,0.4472,0.8944
poblacional_A,2,1.8,1.6,0,0.4472,0.5477
situación_N,2,2,1.6,0,0.7071,0.5477
detener_V,2,3,2.4,0,0,0.8944
ayudar_V,2.6,3,2.6,0.5477,0,0.8944
leer_V,2.8,2.6,2.8,0.4472,0.8944,0.4472
anterior_A,2.2,1.8,1.6,0.4472,0.4472,0.8944
largo_A,1.8,2,2.4,0.4472,0.7071,0.8944
acompañar_V,2.8,3,2.4,0.4472,0,0.8944
abandonar_V,1.2,2.8,2,0.4472,0.4472,1
distinto_A,2.2,2.2,2.2,0.4472,0.4472,1.0954
social_A,2.4,2,2,0.5477,0.7071,1
título_N,1.8,2,2.6,0.4472,0,0.8944
origen_N,2.2,1.8,1.8,0.4472,0.4472,0.8367
desarrollar_V,2.2,3,2.4,0.4472,0,0.8944
actual_A,2,1.8,2.2,0,0.4472,0.8367
bello_A,2.8,1.6,2.6,0.4472,0.8944,0.8944
mayoría_N,1.8,2,2.4,0.4472,0.7071,0.8944
dedicar_V,2.4,2.8,2.6,0.5477,0.4472,0.8944
área_N,2.2,1.4,2.6,0.4472,0.5477,0.8944
chico_N,1.8,1.6,3,0.4472,0.5477,0
importar_V,2.4,2.4,2.6,0.5477,0.8944,0.8944
clase_N,2.4,2.2,2.6,0.5477,0.4472,0.8944
político_A,1.8,2.4,1.6,0.4472,0.5477,0.8944
internacional_A,2.2,1.8,2,0.4472,0.4472,1
especial_A,2.6,1.8,2.4,0.5477,0.8367,0.8944
sentimiento_N,2.4,2,2.2,0.5477,1,0.8367
alto_A,2.2,1.8,2.6,0.4472,0.8367,0.8944
nivel_N,2.2,2.2,2.4,0.4472,0.4472,0.8944
árbol_N,2.6,1.6,3,0.5477,0.5477,0
disco_N,2.4,2,3,0.5477,0.7071,0
pensamiento_N,2.6,2.4,2,0.5477,0.8944,1
cama_N,2.6,1.8,3,0.5477,0.8367,0
extraño_A,2.2,1.8,2.2,0.4472,0.8367,0.8367
reconocer_V,2.4,3,2.2,0.5477,0,0.8367
sufrir_V,1.4,2.6,2.6,0.8944,0.8944,0.8944
superficie_N,2.2,1.6,2.6,0.4472,0.5477,0.8944
actividad_N,2.6,2.8,2.4,0.5477,0.4472,0.8944
programa_N,2,2.6,2.2,0,0.5477,0.8367
edificio_N,2,1.2,3,0,0.4472,0
responder_V,2.4286,2.5714,2.2857,0.5345,0.5345,0.7559
comer_V,2.4,3,2.6,0.5477,0,0.8944
representar_V,2.4,2.8,2.4,0.5477,0.4472,0.8944
iniciar_V,2.6,3,2.4,0.5477,0,0.8944
