Palabra,Agrado,Activacion,Imaginabilidad,stdev_agrd,stdev_act,stdev_imag
dudar_V,1.6,1.6,1.8,0.5477,0.5477,0.8367
caja_N,2,1.8,3,0,0.8367,0
definir_V,2.6,2.6,2,0.5477,0.5477,1
atravesar_V,2.2,2.8,2.4,0.4472,0.4472,0.5477
expresar_V,2.8,2.8,2.6,0.4472,0.4472,0.8944
medio_R,1.8,2,2.4,0.4472,0,0.5477
ave_N,2.8,2.8,3,0.4472,0.4472,0
soldado_N,1.4,2.6,3,0.5477,0.8944,0
templo_N,2.4,2,2.6,0.5477,1,0.8944
calidad_N,2.6,2.4,2,0.5477,0.5477,0.7071
envolver_V,2,2.2,2.6,0,0.8367,0.5477
sexo_N,2.8,3,3,0.4472,0,0
clima_N,2.4,2,3,0.5477,0.7071,0
idioma_N,2.6,2.6,2.2,0.5477,0.5477,0.8367
torneo_N,2.4,3,2.8,0.5477,0,0.4472
institución_N,2.2,2.4,2.2,0.4472,0.8944,1.0954
gol_N,2.8,3,3,0.4472,0,0
tradición_N,2.4,2.4,2.6,0.5477,0.8944,0.8944
emitir_V,2.4,3,1.8,0.5477,0,0.8367
independiente_A,2.8,2.6,2.2,0.4472,0.5477,1.0954
puro_A,3,2.2,2.6,0,0.8367,0.8944
sabor_N,2.6,2.2,2.4,0.5477,0.8367,0.8944
lento_A,2.2,2.6,2.6,0.4472,0.5477,0.5477
afirmar_V,2.6,3,2,0.5477,0,0.7071
asunto_N,2.4,2.4,1.4,0.5477,0.5477,0.5477
maestro_N,2.6,2.8,3,0.5477,0.4472,0
asociación_N,1.8,2,1.4,0.4472,0.7071,0.5477
vencer_V,2.8,3,3,0.4472,0,0
revolución_N,2.8,2.8,2.2,0.4472,0.4472,1.0954
consistir_V,2.3333,2.3333,1,0.5164,0.8165,0
algo_R,2.2,2.2,1.4,0.4472,0.4472,0.5477
final_A,2.2857,2.4286,2.4286,0.488,0.5345,0.7868
descansar_V,3,1.5,2.625,0,0.9258,0.744
funcionar_V,2.625,2.875,2.5,0.5175,0.3536,0.5345
gusto_N,2.5714,2.1429,2.4286,0.5345,0.6901,0.7868
concepto_N,2.375,2,1.375,0.5175,0.5345,0.5175
temor_N,1.25,2.25,2.875,0.4629,1.0351,0.3536
conciencia_N,2.375,2.375,1.875,0.5175,0.744,0.8345
introducir_V,2.25,2.875,2.875,0.4629,0.3536,0.3536
hombro_N,2.3,2,3,0.483,0.6667,0
rojo_N,2.2,2.1,3,0.6325,0.9944,0
fallecer_V,1.2,1.7,2.8,0.4216,0.8233,0.6325
mamá_N,2.9,2.3,3,0.3162,0.6749,0
oído_N,2.2,2.3,2.9,0.6325,0.483,0.3162
geográfico_A,2.1818,1.9091,2.2727,0.603,0.8312,0.7862
erar_V,1.7143,2.2857,1.7143,0.488,0.488,0.9512
asegurar_V,2.4545,2.8182,1.8182,0.6876,0.603,0.8739
contemplar_V,2.6364,1.9091,2.8182,0.5045,1.0445,0.4045
esquina_N,2.0833,2,3,0.2887,0.4264,0
cuanto_R,2.1111,2,1.6667,0.3333,0.5,0.7071
gato_N,2.7273,2.1818,2.9091,0.6467,0.7508,0.3015
encargar_V,2.1,2.8,2.4,0.3162,0.6325,0.8433
estadio_N,2.3333,2.1111,3,0.5,0.6009,0
curso_N,2.1111,1.8889,2.7778,0.6009,0.6009,0.441
recién_R,2.25,2.375,2.625,0.4629,0.5175,0.744
animar_V,2.7143,2.8571,2.5714,0.488,0.378,0.7868
foto_N,2.5714,1.5714,2.8571,0.5345,0.5345,0.378
terreno_N,2.2857,1.5714,3,0.488,0.7868,0
locura_N,1.8571,2.8571,2.4286,0.6901,0.378,0.9759
corte_N,1.6667,2,2.5,0.8165,0.8944,0.5477
salud_N,2.6,1.6,2.6,0.8944,0.8944,0.5477
auto_N,2,2.4,3,0,0.8944,0
temperatura_N,2,2.4,2.6,0,0.8944,0.5477
intención_N,2,2,1.6667,0.6325,0.8944,0.8165
dividir_V,1.8333,2.5,2.3333,0.7528,0.8367,0.5164
mentira_N,1.8333,2.3333,2.6667,0.9832,1.0328,0.8165
desnudo_A,2.3333,1.8333,3,0.8165,0.9832,0
depender_V,1.6,2,2.4,0.5477,1,0.5477
cristal_N,2.4,1.4,2.8,0.5477,0.5477,0.4472
marcha_N,1.8333,2.3333,2.5,0.7528,0.8165,0.8367
tarea_N,2,2.3333,3,0.6325,0.8165,0
superar_V,3,2.8571,2.2857,0,0.378,0.7559
crítico_N,2.1429,2.5714,2.4286,0.6901,0.5345,0.7868
frontera_N,2,1.2857,2.4286,0.8165,0.488,0.9759
evento_N,2,2.7143,2,0.5774,0.488,0.5774
apagar_V,1.8571,2.4286,2.5714,0.6901,0.9759,0.7868
teléfono_N,2.125,2.125,2.75,0.3536,0.8345,0.7071
haz_N,2.375,2.25,2,0.744,0.8864,0.9258
profesional_A,2.375,2.25,2.25,0.5175,0.7071,0.7071
clásico_A,2.625,1.625,2.125,0.744,0.9161,0.991
tono_N,2.125,1.875,1.625,0.3536,0.8345,0.744
primero_R,2.75,2.5,2.5,0.4629,0.5345,0.7559
controlar_V,1.75,3,2.25,0.7071,0,0.7071
derecha_N,1.75,1.75,2.5,0.7071,0.8864,0.9258
cocina_N,2.625,2.125,2.875,0.5175,0.8345,0.3536
disputar_V,1.7778,2.7778,2,0.9718,0.441,0.7071
raíz_N,2.2222,1.8889,2.5556,0.441,0.7817,0.7265
seco_A,1.7778,1.6667,2.3333,0.6667,0.5,0.7071
mediar_V,2.6667,2.7778,2,0.5,0.6667,1
designar_V,2,2.375,2,0.5345,0.9161,0.7559
gesto_N,2.5,2.3333,2.3333,0.5477,0.8165,0.5164
detalle_N,2.6,1.8,2.4,0.5477,0.4472,0.8944
olvido_N,1,1.8,2.6,0,1.0954,0.8944
confundir_V,1.5,2,2.8333,0.5477,0.8944,0.4082
diario_A,2.2857,2.1429,2.2857,0.488,0.8997,0.7559
punta_N,2,2.2857,2.5714,0,0.7559,0.7868
ambiente_N,2.7143,1.7143,2.4286,0.488,0.9512,0.7868
comida_N,3,2,3,0,1.0954,0
administración_N,2,2.1667,2.5,0,0.9832,0.5477
recurso_N,2.3333,2.1667,2.3333,0.5164,0.9832,0.8165
contacto_N,2.6667,2.6667,2.5,0.5164,0.8165,0.5477
literatura_N,3,2.1667,3,0,0.9832,0
guitarra_N,3,3,3,0,0,0
mensaje_N,2.3333,2.1667,2.6667,0.5164,0.7528,0.5164
completar_V,2.4286,2.5714,2.5714,0.5345,0.7868,0.5345
acceso_N,2.1429,1.8571,2,0.378,0.6901,0.8165
gris_A,1.8571,1.2857,2.8571,0.6901,0.488,0.378
iluminar_V,2.7143,2.5714,2.7143,0.488,0.7868,0.7559
soportar_V,1.25,1.75,2.375,0.4629,0.8864,0.9161
igual_R,2.2857,2.1429,2.2857,0.488,0.378,0.7559
método_N,2.2857,2.2857,2,0.488,0.488,0.8165
herir_V,1.1429,3,2.7143,0.378,0,0.7559
aragón_N,2,1.6,1.8,0,0.5477,0.8367
claro_R,3,1.8333,2.6667,0,0.9832,0.8165
finalizar_V,2.8,3,2.4,0.4472,0,0.8944
rincón_N,2.2,2,3,0.4472,0.7071,0
concierto_N,2.8333,2.5,3,0.4082,0.8367,0
defender_V,2.5,2.6667,2.5,0.5477,0.8165,0.8367
odiar_V,1,2.6667,2.1667,0,0.8165,0.7528
hasta_R,1.8333,1.8333,1.8333,0.4082,0.4082,0.7528
masa_N,2.1667,1.8333,2.3333,0.7528,0.9832,1.0328
fundación_N,2.5,2.5,1.8333,0.5477,0.5477,0.9832
límite_N,2.1429,2.5714,2.5714,0.6901,0.5345,0.7868
privar_V,1.1667,2.1667,1.8333,0.4082,0.9832,0.9832
federal_A,2.4,2,1.6,0.5477,0.7071,0.8944
rayo_N,2.2,3,3,0.8367,0,0
congreso_N,2,2.4,2.4,0.7071,0.5477,0.8944
pretender_V,2,2.6,1.8,0.7071,0.5477,0.8367
saltar_V,2.8,2.8,3,0.4472,0.4472,0
coleóptero_N,1.6,2.4,1.8,0.5477,0.5477,1.0954
instalar_V,2.2,2.8,2.2,0.8367,0.4472,1.0954
hueso_N,1.6,1.2,3,0.5477,0.4472,0
pan_N,3,1.8,3,0,0.8367,0
entero_A,2.2,1.8,2.2,0.4472,0.4472,0.8367
valer_V,2.6,2.2,1.4,0.5477,0.8367,0.8944
generalmente_R,2,2.2,1.6,0,0.8367,0.5477
inmediato_A,2,2.8,2.2,0.7071,0.4472,0.8367
rumbo_N,2.4286,2.1429,2.5714,0.5345,0.6901,0.5345
inmenso_A,2.6,1.6,2.8,0.5477,0.8944,0.4472
impedir_V,1.2,3,2.6,0.4472,0,0.5477
sorpresa_N,3,2.6,2.4,0,0.8944,0.8944
extrañar_V,1.4,2.4,3,0.8944,0.8944,0
compuesto_N,2,2,2,0,0,1
estudiante_N,2.8,2.8,3,0.4472,0.4472,0
pleno_A,2.7143,2.2857,1.7143,0.488,0.7559,0.9512
diseñar_V,2.4,3,2.2,0.8944,0,1.0954
san_A,2.6,2.2,2.2,0.5477,0.8367,1.0954
paisaje_N,2.8571,1.7143,2.8571,0.378,0.9512,0.378
armar_V,2.5714,2.8571,2.7143,0.5345,0.378,0.488
generación_N,2.1429,2,2.1429,0.378,0.8165,0.8997
reflejar_V,2.2857,2.1429,2.8571,0.488,1.069,0.378
acordar_V,2.8,2.2,3,0.4472,1.0954,0
culpa_N,1,2,2.4,0,0.7071,0.8944
medir_V,2,2.8333,2.6667,0,0.4082,0.5164
emoción_N,2.8333,2.5,2.3333,0.4082,0.8367,0.8165
morfología_N,2,1.6667,1.1667,0,0.5164,0.4082
cuestión_N,1.8,1.8,1.6,0.4472,0.4472,0.8944
emperador_N,2,2.2,2.8,1,0.8367,0.4472
arena_N,2.8,2,3,0.4472,1,0
ritmo_N,2.8,2.4,2.4,0.4472,0.8944,0.8944
misión_N,2.2,2.2,2.6,0.4472,0.8367,0.5477
durar_V,2.2,2.2,2.8,0.4472,0.8367,0.4472
conflicto_N,1.1667,2.3333,2.8333,0.4082,0.8165,0.4082
descripción_N,2,2.2,2.2,0,0.4472,0.8367
rico_A,3,2.4,3,0,0.5477,0
brillar_V,3,2.6,3,0,0.8944,0
aeropuerto_N,2.2,2,3,0.4472,0.7071,0
aprovechar_V,2.4,2.8,2.8,0.5477,0.4472,0.4472
the_N,2,2,1.8,0,0,0.4472
viejo_N,1.8,1.8,3,0.4472,0.8367,0
constante_A,2.2,2,2.8,0.8367,0.7071,0.4472
biografía_N,2.3333,2,2.5,0.5164,0.6325,0.5477
silla_N,2.1667,1.5,2.8333,0.4082,0.5477,0.4082
dicha_N,2.8333,2.1667,2.6667,0.4082,0.7528,0.8165
justo_A,2.6667,1.8333,2.5,0.5164,0.7528,0.5477
coordenada_N,2,2,2.8333,0,0,0.4082
negocio_N,2.1667,2.1667,2.5,0.7528,0.7528,0.8367
visión_N,2,2.6667,2.5,0,0.5164,0.8367
ultimar_V,1.6667,2.5,2.1667,0.5164,0.5477,0.9832
mejor_R,2.6667,1.8333,2.1667,0.5164,0.7528,0.7528
local_A,2.1667,1.8333,2,0.4082,0.4082,0.8944
participación_N,2.6667,3,2.5,0.5164,0,0.8367
justicia_N,2.8333,2.5,2.6667,0.4082,0.8367,0.5164
gobernar_V,2.4,2.8,2.8,0.5477,0.4472,0.4472
pintar_V,2.8,3,3,0.4472,0,0
diente_N,2,2,3,0,0.7071,0
interesar_V,2.6,3,2.6,0.5477,0,0.8944
aparición_N,2,2.2,3,0.7071,0.4472,0
localizar_V,2.4,3,2.4,0.5477,0,0.5477
técnico_N,2.4,2.2,2.8,0.5477,0.8367,0.4472
artístico_A,2.6,2.4,2.6,0.5477,0.8944,0.8944
convencer_V,2,2.8,2.6,0,0.4472,0.5477
particular_A,2,1.8,1.8,0,0.4472,0.8367
asustar_V,1.2,3,3,0.4472,0,0
hábitat_N,2.2,1.8,2.4,0.4472,0.8367,0.8944
enemigo_N,1.2,2.6,2.8,0.4472,0.5477,0.4472
mezclar_V,2.2,2.8,3,0.4472,0.4472,0
requerir_V,2,2.4,1.8,0,0.8944,1.0954
literario_A,2.8,1.6,2.4,0.4472,0.5477,0.5477
primavera_N,2.8,2.2,3,0.4472,0.8367,0
escalera_N,2.2,2.2,3,0.4472,0.4472,0
médico_A,2,2.2,3,0.7071,0.8367,0
colección_N,2.2,1.8,2.2,0.4472,0.4472,0.8367
instrumento_N,2.4,2.4,3,0.5477,0.5477,0
intenso_A,2.4,2.2,1.8,0.5477,0.8367,0.8367
quizá_R,2.2,1.6,1.6,0.4472,0.5477,0.8944
carga_N,1.8,1.8,1.8,0.4472,0.8367,0.8367
vehículo_N,2.2,2.4,2.6,0.4472,0.5477,0.8944
invadir_V,1.2,3,2.6,0.4472,0,0.5477
ocultar_V,1.8,2,2.6,0.4472,1,0.5477
dejo_N,2,1.2,1.8,0.7071,0.4472,0.8367
referencia_N,2.2,1.8,1.2,0.4472,0.8367,0.4472
secretario_N,2,2.4,2.8,0.7071,0.5477,0.4472
humanidad_N,2.8,2.2,2.6,0.4472,0.8367,0.5477
comentar_V,2.4,2.8,2.6,0.5477,0.4472,0.5477
actuación_N,2.4,3,2.8,0.8944,0,0.4472
guardia_N,2.2,2.4,2.6,0.4472,0.8944,0.5477
dibujar_V,3,3,3,0,0,0
destinar_V,2.2,2.6,1.8,0.4472,0.5477,1.0954
escenario_N,2.4,2,2.6,0.5477,0.7071,0.5477
combate_N,1.4,3,2.4,0.5477,0,0.8944
visita_N,2.4,2.6,2.4,0.5477,0.5477,0.8944
hambre_N,1,2.6,2.6,0,0.5477,0.8944
alimento_N,2.8,2.4,2.8,0.4472,0.8944,0.4472
femenino_A,3,2.8,2.6,0,0.4472,0.8944
quemar_V,2.2,2.8,2.8,0.4472,0.4472,0.4472
doble_A,2.2,2,2.2,0.4472,0,0.8367
ingresar_V,2.4,2.8,2.4,0.5477,0.4472,0.5477
asesinar_V,1.6,3,2.8,0.8944,0,0.4472
academia_N,2,1.6,2.6,0.7071,0.8944,0.8944
regalo_N,2.8,2,2.6,0.4472,0.7071,0.8944
probablemente_R,2.2,2.2,1.8,0.4472,0.4472,0.8367
conformar_V,2.2,2.4,1.6,0.4472,0.5477,0.8944
muro_N,1.8,1.8,3,0.4472,0.8367,0
tender_V,2,2.6,2.4,0,0.5477,0.8944
coche_N,2.4,2.4,2.8,0.5477,0.5477,0.4472
aéreo_A,2.4,2.6,2.8,0.5477,0.5477,0.4472
eléctrico_A,2,2.8333,2.6667,0,0.4082,0.5164
castilla_N,2,1.8,1.8,0.7071,0.4472,1.0954
plaza_N,2.5,2.6667,3,0.8367,0.5164,0
húmedo_A,1.8333,1.8333,2.8333,0.4082,0.7528,0.4082
cuadro_N,2.2,1.2,3,0.4472,0.4472,0
rosa_N,2.4,1.6,3,0.5477,0.5477,0
cariño_N,2.8,3,2.8,0.4472,0,0.4472
aplicar_V,2.2,2.8,1.6,0.8367,0.4472,0.8944
mejorar_V,2.8,3,2,0.4472,0,0.7071
breve_A,2.2,2.2,1.8,0.4472,0.4472,0.4472
atrapar_V,1.6,2.8,2.2,0.5477,0.4472,0.4472
escudo_N,1.8,2.2,3,0.4472,0.4472,0
campeón_N,2.6,3,2.6,0.5477,0,0.8944
otorgar_V,2.6,3,2.2,0.5477,0,0.8367
lenguaje_N,2.4,2.4,2.2,0.5477,0.5477,0.8367
monte_N,2.2,1.8,3,0.4472,0.4472,0
extremo_N,2,2.4,2.2,0,0.8944,1.0954
ejercer_V,1.8,3,2,0.4472,0,0.7071
flotar_V,2.6,2.2,2.8,0.5477,1.0954,0.4472
diario_N,2,2.4,3,0,0.8944,0
probar_V,2.8,3,2.4,0.4472,0,0.5477
fase_N,2,1.4,1.6,0,0.5477,0.8944
industria_N,1.8,2.6,2.8,0.4472,0.5477,0.4472
afectar_V,1.6,3,2,0.5477,0,0.7071
deslizar_V,2.2,3,2.8,0.4472,0,0.4472
marido_N,2.2,2,2.8,0.4472,0,0.4472
contrato_N,2,2.2,2.6,0,0.8367,0.5477
arqueológico_A,2,1.6,3,0.7071,0.5477,0
liberar_V,2.8,3,2.6,0.4472,0,0.8944
caballero_N,2.6,2.6,2.8,0.5477,0.5477,0.4472
alimentar_V,2.8,3,3,0.4472,0,0
variar_V,2.4,2.6,2.4,0.5477,0.5477,0.8944
orilla_N,2.3333,1.5,3,0.8165,0.8367,0
inferior_A,1.6,1.6,2.6,0.5477,0.5477,0.5477
hotel_N,2.8333,1.6667,3,0.4082,0.5164,0
salón_N,2.3333,1.6667,3,0.8165,0.5164,0
sala_N,2.2,1.6,3,0.4472,0.8944,0
máquina_N,2,2.8,2.8,0.7071,0.4472,0.4472
biblioteca_N,2.8,1.6,3,0.4472,0.8944,0
materia_N,2,1.8,2,0.7071,0.8367,1
infierno_N,1.2,2.2,2,0.4472,1.0954,1
fijar_V,2.4,3,2.6,0.5477,0,0.8944
repente_N,2,2.2,1.2,0,0.4472,0.4472
extensión_N,2.4,1.6,2.4,0.5477,0.8944,0.8944
regreso_N,2.6,2.8,2.6,0.5477,0.4472,0.5477
solitario_A,1.8,1,2.8,0.4472,0,0.4472
representación_N,2.4,2.4,1.8,0.5477,0.5477,0.8367
comisión_N,1.8,2.6,2.6,0.4472,0.5477,0.5477
publicación_N,2.6,2.6,2.6,0.5477,0.5477,0.8944
aliento_N,2,2.6,2.6,1,0.5477,0.5477
asumir_V,2.2,2.8,2.4,0.4472,0.4472,0.8944
exterior_A,2,1.6,2.4,0,0.5477,0.5477
techo_N,2.4,1.8,3,0.5477,0.4472,0
tecnología_N,2.2,2,3,0.4472,0,0
directamente_R,2.4,2.6,2.8,0.5477,0.5477,0.4472
conversación_N,3,3,3,0,0,0
físico_A,2.4,1.8,2.6,0.5477,0.4472,0.5477
voluntad_N,2.6667,2.6667,2.3333,0.5164,0.5164,0.8165
absoluto_A,2.1667,2.5,2.1667,0.4082,0.5477,0.7528
actriz_N,2.3333,2.5,3,0.5164,0.5477,0
horizonte_N,3,1.3333,2.8333,0,0.5164,0.4082
sur_N,2.8333,1.8333,2.8333,0.4082,0.4082,0.4082
polvo_N,2,2.1667,3,0.6325,0.7528,0
tormenta_N,2,2.8333,3,0.6325,0.4082,0
susurrar_V,2.6667,2.5,3,0.5164,0.8367,0
caracterizar_V,2,2.8333,2.3333,0,0.4082,0.8165
periódico_N,2.2,2,2.8,0.4472,0.7071,0.4472
típico_A,2.2,2,2.2,0.4472,0.7071,0.8367
juventud_N,2.6,2.2,2.8,0.5477,0.8367,0.4472
botánico_A,2.6,1.8,2.6,0.5477,0.4472,0.5477
princesa_N,2,1.8,2.8,0.7071,0.4472,0.4472
política_N,1.8,2.4,2.4,0.8367,0.8944,0.5477
brillante_A,2.4,2,2.8,0.5477,0,0.4472
rama_N,2.2,1.6,2.8,0.4472,0.5477,0.4472
presión_N,1.6,2.4,2.4,0.5477,0.5477,0.8944
transporte_N,1.8,2.8,2.8,0.4472,0.4472,0.4472
prestar_V,2.4,2.2,2.6,0.5477,0.4472,0.5477
llegada_N,2.6,2.6,2.6,0.5477,0.5477,0.5477
añadir_V,2,2.6,2.8,0,0.5477,0.4472
labor_N,2.2,3,2.8,0.8367,0,0.4472
respecto_N,2,2,1.6,0,0,0.8944
religión_N,1.6,2,2.8,0.5477,0.7071,0.4472
precio_N,1.8,2.2,2.8,0.4472,0.8367,0.4472
distinguir_V,2,2.6,2.6,0.7071,0.5477,0.5477
rechazar_V,1.4,2.4,2.8,0.8944,0.8944,0.4472
brisa_N,3,2.4,2.8,0,0.5477,0.4472
verso_N,1.6,2.4,2.4,0.8944,0.8944,0.8944
aroma_N,2.8,2.6,2.8,0.4472,0.5477,0.4472
oponer_V,2,2.6,2.8,0,0.5477,0.4472
montar_V,2.8,2.8,2.8,0.4472,0.4472,0.4472
columna_N,2.2,2.2,2.8,0.4472,0.4472,0.4472
mierda_N,1.6,2.2,2.8,0.5477,0.4472,0.4472
falso_A,1.4,2.2,2.6,0.5477,0.4472,0.5477
solución_N,2.4,2.6,2.6,0.5477,0.5477,0.5477
escaso_A,1.6,2,2.4,0.5477,0,0.5477
arrancar_V,2,2.6,2.8,0,0.5477,0.4472
amante_N,2.6,2.6,2.8,0.5477,0.5477,0.4472
susurro_N,2.8,2.4,2.8,0.4472,0.5477,0.4472
código_N,2.4,2.4,2.8,0.5477,0.5477,0.4472
búsqueda_N,2.2,3,2.8,0.8367,0,0.4472
constitución_N,2.4,2.2,2.4,0.5477,0.4472,0.8944
patio_N,2.4,2,2.8,0.5477,0,0.4472
voto_N,2.4,2.8,3,0.5477,0.4472,0
regional_A,2.2,2,2.8,0.4472,0,0.4472
pérdida_N,1.2,1.6,2.4,0.4472,0.8944,0.5477
imponer_V,1.4,3,2.2,0.5477,0,0.4472
mágico_A,2.6,2.2,1.8,0.5477,0.4472,0.8367
documento_N,2,1.8,2.8,0,0.4472,0.4472
fantasma_N,1.8,2,2.6,0.4472,0,0.5477
gira_N,2.2,2.6,2.4,0.4472,0.5477,0.5477
capilla_N,1.8,1.8,2.8,0.8367,0.4472,0.4472
leyenda_N,2.6,2,2.2,0.5477,0.7071,0.8367
interior_A,2.4,2,2.4,0.5477,0,0.8944
mejilla_N,2.6,1.8,2.8,0.5477,0.8367,0.4472
pedazo_N,2,2,2,0,0.7071,0.7071
sección_N,2,2.2,1.6,0,0.4472,0.8944
pájaro_N,3,2.6,2.8,0,0.5477,0.4472
demonio_N,1.4,2.4,2.4,0.5477,0.5477,0.8944
obispo_N,1.8,2.2,2.6,0.4472,0.4472,0.5477
suspiro_N,3,2,2.6,0,1,0.5477
humo_N,1.8,2,2.6,0.4472,0.7071,0.5477
papa_N,2.2,1.8,2.8,0.4472,0.8367,0.4472
roca_N,2.2,1.4,2.6,0.4472,0.5477,0.5477
víctima_N,1.4,1.4,1.6,0.5477,0.5477,0.5477
colgar_V,2,2.6,2.2,0,0.5477,0.8367
individuo_N,2,1.8,1.6,0,0.4472,0.5477
titular_V,2,2.2,1.8,0,0.4472,0.4472
ajeno_A,2,2,1.6,0,0.7071,0.8944
crecimiento_N,3,3,2,0,0,1
variedad_N,2.8,2,2.4,0.4472,0.7071,0.5477
príncipe_N,2.6,2.2,2.8,0.5477,0.8367,0.4472
alumno_N,2.6,2.2,2.8,0.5477,0.8367,0.4472
frecuencia_N,2,2.4,1.6,0,0.8944,0.8944
terrible_A,1.6,2.4,2.6,0.5477,0.5477,0.5477
merecer_V,2.4,2.2,2.2,0.5477,0.8367,0.8367
caída_N,1.6,2.6,2.8,0.5477,0.8944,0.4472
dólar_N,2,1.4,3,0.7071,0.5477,0
deporte_N,2.8,3,2.8,0.4472,0,0.4472
provenir_V,2,1.6,1.6,0,0.8944,0.8944
llave_N,2.1667,1.5,3,0.4082,0.5477,0
compositor_N,2.8333,2.5,2.3333,0.4082,0.8367,1.0328
latir_V,2.8333,3,2.6667,0.4082,0,0.5164
aplicación_N,2.1667,2.3333,2.1667,0.4082,0.5164,0.9832
presente_A,2.3333,2,2.1667,0.5164,0.8944,0.9832
exposición_N,2.3333,2.6667,2.8333,0.5164,0.5164,0.4082
interno_A,2.1667,1.8333,1.6667,0.4082,0.4082,0.8165
sexual_A,2.8571,3,3,0.378,0,0
máximo_A,2.3333,2.3333,2.5,0.5164,0.5164,0.5477
actitud_N,2.5,2.8333,2.8333,0.5477,0.4082,0.4082
carcajada_N,3,3,3,0,0,0
catedral_N,2.8,1.8,3,0.4472,0.4472,0
encerrar_V,1.4,2.6,3,0.5477,0.8944,0
arrastrar_V,1.2,3,3,0.4472,0,0
católico_A,2,2,2.6,0,0.7071,0.8944
devolver_V,2.4,2.8,2.8,0.5477,0.4472,0.4472
relato_N,2.6,2.4,3,0.5477,0.8944,0
composición_N,2.4,2.4,2.4,0.5477,0.5477,0.8944
nacimiento_N,2.8,2.4,3,0.4472,0.8944,0
asentamiento_N,1.6,2.2,2.8,0.5477,0.8367,0.4472
símbolo_N,2.6,2,2.8,0.5477,0.7071,0.4472
contenido_N,2.4,2.2,2,0.5477,0.8367,1
vestido_N,2.8,1.8,3,0.4472,0.8367,0
crisis_N,2,2.4,2.4,1,0.8944,0.8944
magia_N,3,2.8,2.6,0,0.4472,0.8944
video_N,2.2,2.2,2.6,0.4472,0.4472,0.5477
científico_N,2.8,2.4,2.8,0.4472,0.8944,0.4472
papá_N,3,3,3,0,0,0
barco_N,2.8,2.6,3,0.4472,0.8944,0
comandante_N,2,2.8,2.6,0.7071,0.4472,0.5477
banda_N,2.6,2.2,2.2,0.5477,0.8367,0.8367
continuo_A,1.8,1.4,2.2,0.4472,0.8944,0.8367
comercio_N,2,2.2,2.6,0,0.8367,0.8944
seriar_V,1.8,2.6,1.8,0.8367,0.5477,0.8367
resolver_V,2.4,3,2.2,0.8944,0,1.0954
cola_N,2.4,1.6,2.8,0.8944,0.5477,0.4472
duque_N,2,1.4,2.4,0.7071,0.5477,0.8944
inspirar_V,3,2.4,2.2,0,0.8944,0.8367
diputado_N,1.4,2.2,3,0.5477,1.0954,0
familiar_A,2.6,2.4,2.8,0.5477,0.5477,0.4472
dominio_N,2.2,2.4,2.2,0.4472,0.5477,0.8367
derecho_A,2.2,2,1.8,0.4472,0.7071,0.8367
filosofía_N,2.6,2,2,0.5477,1,1
reinar_V,2,3,2.8,0.7071,0,0.4472
caber_V,2.2,2.6,2.6,0.4472,0.8944,0.8944
eliminar_V,2,3,3,0.7071,0,0
and_N,2,1.8,2,0,0.4472,0.7071
regalar_V,3,3,2.8,0,0,0.4472
esencia_N,3,1.2,3,0,0.4472,0
toma_N,2.2,2.8,2.2,0.4472,0.4472,1.0954
derivar_V,2.4,3,2.4,0.5477,0,0.8944
pegar_V,1.6,3,2.8,0.8944,0,0.4472
vaso_N,2.2,1.8,3,0.4472,0.4472,0
normal_A,1.8,1.6,2,0.4472,0.5477,1
ligero_A,2.8,2,2.4,0.4472,1,0.8944
régimen_N,1.4,2,2.2,0.5477,1,0.8367
gobernador_N,1.6,2.4,3,0.5477,0.5477,0
amanecer_N,3,1.6,3,0,0.8944,0
cantante_A,2.8,2.8,3,0.4472,0.4472,0
activo_A,2.4,2.8,2,0.5477,0.4472,1
divino_A,2.6,1.4,2.4,0.8944,0.5477,0.8944
sobrevivir_V,2,2.8,2.6,0.7071,0.4472,0.5477
reconocimiento_N,2.8,2.8,2.4,0.4472,0.4472,0.8944
infinito_A,2.8,1.6,1.4,0.4472,0.8944,0.8944
monumento_N,2.4,1.2,2.8,0.5477,0.4472,0.4472
madera_N,2.6,1.6,3,0.5477,0.5477,0
arquitectura_N,2.4,1.6,2.4,0.5477,0.5477,0.8944
graduar_V,2,2.8,2.4,0.7071,0.4472,0.8944
asistir_V,2.4,3,2.8,0.5477,0,0.4472
ola_N,2.6,2.6,3,0.5477,0.8944,0
candidato_N,2,2.2,2.4,0,0.8367,0.8944
círculo_N,2.4,1.8,3,0.5477,0.4472,0
pobreza_N,1.2,1.8,2.8,0.4472,0.8367,0.4472
volumen_N,2.2,2,1.8,0.4472,1,1.0954
prometer_V,2,2.6,2,0,0.5477,0.7071
cerebro_N,2.2,2.6,2.6,0.4472,0.5477,0.8944
interior_N,2.2,1.8,2.4,0.4472,0.4472,0.5477
espada_N,2.4,3,3,0.5477,0,0
opinión_N,2.4,2.8,2,0.5477,0.4472,1
nota_N,2.6,2,2.4,0.5477,0.7071,0.5477
odio_N,1,3,2.6,0,0,0.5477
sierra_N,2,2,3,0.7071,0.7071,0
botella_N,2,1.6,3,0,0.5477,0
partida_N,2,2.2,2.2,0,0.8367,1.0954
prohibir_V,1.2,2.2,2.4,0.4472,1.0954,0.8944
citar_V,2,2.2,2.2,0,0.8367,1.0954
acá_R,2.2,1.8,1.8,0.4472,0.8367,0.8367
